ACCESSIONNUMBER,ENTITYNAME,CIK,STREET1,STREET2,CITY,STATEORCOUNTRY,ZIPCODE,TOTALAMOUNTSOLD,TOTALOFFERINGAMOUNT,FILING_DATE,source_quarter
0000929638-24-003461,"Torch Therapeutics, Inc.",0002040433,2729 WALTHAM CROSS STREET,,BELMONT,CA,94002,4025000,15275000,08-OCT-2024,2024Q4
0002038107-24-000001,"Recourse Biologics, Inc.",0002038107,3737 BUFFALO SPEEDWAY,STE 1750,HOUSTON,TX,77098,2786350,4300000,08-OCT-2024,2024Q4
0001834514-24-000004,"CIRC Biosciences, Inc.",0001834514,"400 N. ABERDEEN, SUITE 900",,CHICAGO,IL,60642,250000,250000,07-OCT-2024,2024Q4
0000897069-24-001927,"Morphoceuticals, Inc.",0001962989,200 Boston Avenue,Suite G-725,Medford,MA,02155,3500000,5500000,07-OCT-2024,2024Q4
0002039520-24-000001,MaraBio Systems Inc.,0002039520,"26 S RIO GRANDE ST., STE 2072",,SALT LAKE CITY,UT,84101,19058971,28958242,07-OCT-2024,2024Q4
0000897069-24-001918,"22nd Century Group, Inc.",0001347858,321 Farmington Road,,Mocksville,NC,27028,1200000,1200000,04-OCT-2024,2024Q4
0002039192-24-000001,Arc Endosurgery Inc.,0002039192,9800 PYRAMID CT,SUITE 400,ENGLEWOOD,CO,80112,1470000,1500000,03-OCT-2024,2024Q4
0002035832-24-000001,"Aktis Oncology, Inc.",0002035832,17 DRYDOCK AVENUE,SUITE #17-401,BOSTON,MA,02210,175000000,175000000,02-OCT-2024,2024Q4
0001903317-24-000002,"Arda Therapeutics, Inc.",0001903317,930 Brittan Ave,,San Carlos,CA,94070,43303366,43438362,02-OCT-2024,2024Q4
0001791779-24-000001,Ophidion Inc.,0001791779,116 Research Dr,Suite 223,Bethlehem,PA,18015,655166,1200000,01-OCT-2024,2024Q4
0002038848-24-000001,Radiant Biotherapeutics Inc.,0002038848,"3, Place Ville-Marie",Suite 12350,Montreal QC,Z4,H2B 0E7,34299986,34299986,01-OCT-2024,2024Q4
0001471618-24-000001,"Synedgen, Inc.",0001471618,1420 N. CLAREMONT BOULEVARD,SUITE 105D,CLAREMONT,CA,91711,1750000,2000000,01-OCT-2024,2024Q4
0001782084-25-000001,Hilltop Biosciences Inc.,0001782084,"320 Norwood Park, S",,Norwood,MA,02062,5303565,5500000,31-MAR-2025,2025Q1
0002063378-25-000001,"PRG FlowChem, Inc.",0002063378,880 ENTERPRISE DRIVE,,ROYERSFORD,PA,19468,825000,1666800,28-MAR-2025,2025Q1
0002063071-25-000001,Autonomy Bio Inc.,0002063071,512 2ND STREET,FLOOR 3,SAN FRANCISCO,CA,94107,16999990,16999990,27-MAR-2025,2025Q1
0002062029-25-000001,"VQ Biomedical, Inc.",0002062029,5448 APEX PEAKWAY,SUITE 171,APEX,NC,27502,1650000,1650000,27-MAR-2025,2025Q1
0002045855-25-000001,"Assurtek Surgical, Inc.",0002045855,16 CAVENDISH COURT,,LEBANON,NH,03766,370000,370000,25-MAR-2025,2025Q1
0002062605-25-000001,"Topaz Biosciences, Inc.",0002062605,"1250 45th Street, Suite 320",,Emeryville,CA,94608,1434996,3159994,25-MAR-2025,2025Q1
0002061516-25-000001,Comend Inc.,0002061516,1176 DREAM CREST ROAD,,MISSISSAUGA,A6,L5V 1N6,50000,50000,24-MAR-2025,2025Q1
0002063191-25-000001,"Illexcor Holdings, LLC",0002063191,3300 PEMBERTON CREEK COURT,,HENRICO,PA,23233,1000000,2000000,24-MAR-2025,2025Q1
0002041826-25-000001,Voxcell BioInnovation Inc.,0002041826,300-637 BAY STREET,,VICTORIA,A1,V8T 5L2,1733264,1733282,24-MAR-2025,2025Q1
0002062575-25-000001,Cime Therapeutics Inc.,0002062575,110 16TH STREET,SUITE 1460,DENVER,CO,80202,2100000,2500000,21-MAR-2025,2025Q1
0001685406-25-000001,Biolinq Inc,0001685406,10260 SORRENTO VALLEY ROAD,,SAN DIEGO,CA,92121,90000000,100000000,21-MAR-2025,2025Q1
0002062835-25-000001,"Blue water biotechnology engineering (macau) co., ltd",0002062835,"BUILDING G, 14TH FLOOR, CHINA PLAZA,","762-804 NAM WAN AVENUE, MACAU",MACAU,N5,999078,0,5000000,21-MAR-2025,2025Q1
0001963569-25-000002,"OraLiva, Inc.",0001963569,2 Davis Drive,,DURHAM,NC,27709,1500000,2250000,21-MAR-2025,2025Q1
0002062787-25-000001,"Foment Bio, Inc.",0002062787,148 WICK WILLOW RD,,MONTGOMERY,TX,77356,542550,1000000,21-MAR-2025,2025Q1
0002062359-25-000001,Bench7 Inc.,0002062359,929 PARKVIEW DRIVE,,BISMARCK,ND,58501,100000,100000,20-MAR-2025,2025Q1
0001213900-25-025074,Pluri Inc.,0001158780,MATAM ADVANCED TECHNOLOGY PARK,BUILDING NO. 5,HAIFA,L3,3508409,3500000,3500000,19-MAR-2025,2025Q1
0001734691-25-000001,"Aveta Biomics, Inc.",0001734691,"110 GREAT ROAD, SUITE 302",,BEDFORD,MA,01730,4455040,8000000,19-MAR-2025,2025Q1
0001800623-25-000002,"Capsulomics, Inc.",0001800623,1450 S ROLLING ROAD,SUITE 3 013,HALETHORPE,MD,21227,2392270,3000000,19-MAR-2025,2025Q1
0002040413-25-000002,Eonn Corp.,0002040413,1019 S Heatherwilde Blvd,,Pflugerville,TX,78660,300000,300000,19-MAR-2025,2025Q1
0001962684-25-000001,Pharmesol Inc.,0001962684,412 CEDAR CREST DRIVE,,COPPELL,TX,75019,0,1300000,18-MAR-2025,2025Q1
0001903219-25-000002,"Curevo, Inc.",0001903219,"18911 NORTH CREEK PKWY, SUITE 150",,BOTHELL,WA,98011,42414174,84828349,18-MAR-2025,2025Q1
0002018445-25-000002,"Aadi Bioscience, Inc.",0001422142,2 HEADQUARTERS PLAZA,"EAST BUILDING, 11TH FLOOR",MORRISTOWN,NJ,07960,100002392,100002392,18-MAR-2025,2025Q1
0001919709-25-000004,Phantom Neuro Inc.,0001919709,"507 SOUTH PARK DRIVE, UNIT 1",,AUSTIN,TX,78704,12097140,19297142,18-MAR-2025,2025Q1
0001960745-25-000002,"RNAV8 BIO, INC.",0001960745,29851 WEATHERWOOD,,LAGUNA NIGUEL,CA,92677,2013880,3000000,17-MAR-2025,2025Q1
0001477932-25-001742,"Pharmaceutical Resource Technology, Inc.",0001865759,"1 Kaki Bukit Ave 3, #09-11, KB-1",,Singapore,U0,416087,0,10000000,17-MAR-2025,2025Q1
0001873875-25-000003,Incannex Healthcare Inc.,0001873875,8 CENTURY CIRCUIT,STE 105,NORWEST NSW,C3,2153,12499825,12499825,17-MAR-2025,2025Q1
0001450737-25-000003,NEUROLUTIONS INC,0001450737,7033 HAYVENHURST AVE,,VAN NUYS,CA,91406,26549999,42800000,17-MAR-2025,2025Q1
0002060901-25-000001,Syndex Bio Inc.,0002060901,"2632 WILSHIRE BOULEVARD, SUITE 83",,SANTA MONICA,CA,90403,15506942,15506942,14-MAR-2025,2025Q1
0002059432-25-000001,"Surgical Training Simulators, Inc.",0002059432,257 EAGLE DRIVE,,CHAPEL HILL,NC,27517,200000,200000,14-MAR-2025,2025Q1
0001871154-25-000004,"VAIL SCIENTIFIC, INC.",0001871154,"7800 Metro Parkway, Suite 105",,Bloomington,MN,55425,7000000,7000000,13-MAR-2025,2025Q1
0002008775-25-000001,"Montara Therapeutics, Inc.",0002008775,135 MISSISSIPPI STREET,,SAN FRANCISCO,CA,94107,19999995,19999995,13-MAR-2025,2025Q1
0001630575-25-000001,"Vivace Therapeutics, Inc.",0001630575,"1510 Fashion Island Blvd., Suite 310",,San Mateo,CA,94404,17499997,34999993,12-MAR-2025,2025Q1
0001999360-25-000001,"Long Bridge Medical, Inc.",0001999360,6000 SHORELINE CT,SUITE 206,SOUTH SAN FRANCISCO,CA,94080,999992,999999,12-MAR-2025,2025Q1
0001876657-25-000001,"BobcatBio, Inc.",0001876657,"1214 RESEARCH BOULEVARD, SUITE 2010",,HUMMELSTOWN,PA,17036,5340751,15000000,12-MAR-2025,2025Q1
0001848350-25-000001,"Elastrin Therapeutics, Inc.",0001848350,200C PATEWOOD DR.,,GREENVILLE,SC,29615,500000,500000,11-MAR-2025,2025Q1
0001982572-25-000001,"Infinity Bio, Inc.",0001982572,6200 SEAFORTH ST.,,BALTIMORE,MD,21224,2000000,5000000,11-MAR-2025,2025Q1
0002058969-25-000001,"Lyora Therapeutics, Inc.",0002058969,118 GODEN STREET,,BELMONT,MA,02478,525000,2000000,11-MAR-2025,2025Q1
0002059674-25-000001,SENSEARLY INC.,0002059674,2671 MARSHALL DRIVE,,PALO ALTO,CA,94303,1700000,1700000,11-MAR-2025,2025Q1
